,Surname,First Names,Age,Boarded,Survivor (S) or Victim (†)
303,Davies,Master John Morgan Jr,8,Southampton,S
304,Davies,Mr Alfred James,24,Southampton,†
305,Davies,Mr Charles Henry,19,Southampton,†
306,Davies,Mr Evan,22,Southampton,†
307,Davies,Mr John,21,Southampton,†
308,Davies,Mr Joseph,17,Southampton,†
309,Davies,Mrs Agnes,48,Southampton,S
310,Davis,Miss Mary Ann Charlotte,28,Southampton,S
311,Davison,Mr Thomas Henry,32,Southampton,†
312,Davison,Mrs Mary Elizabeth,34,Southampton,S
313,De Messemaeker,Mr Guillaume Joseph,36,Southampton,S
314,De Messemaeker,Mrs Anna,36,Southampton,S
315,De Mulder,Mr Theodoor,30,Southampton,S
316,De Pelsmaeker,Mr Alfons,16,Southampton,†
317,Deacon,Mr Percy William,18,Southampton,†
318,Dean,Master Bertram Vere,1,Southampton,S
319,Dean,Miss Elizabeth Gladys “Millvina”,2m,Southampton,S
320,Dean,Mr Bertram Frank,25,Southampton,†
321,Dean,Mrs Eva Georgetta,32,Southampton,S
322,Del Carlo,Mr Sebastiano,29,Cherbourg,†
323,Del Carlo,Mrs Argene,24,Cherbourg,S
324,Delalic,Mr Redjo,25,Southampton,†
325,Denbuoy,Mr Albert Joseph,25,Southampton,†
326,Denkoff,Mr Mitto,30,Southampton,†
327,Dennis,Mr Samuel,22,Southampton,†
328,Dennis,Mr William,26,Southampton,†
329,Devaney,Miss Margaret Delia,19,Queenstown,S
330,Dibden,Mr William,18,Southampton,†
331,Dick,Mr Albert Adrian,31,Southampton,S
332,Dick,Mrs Vera,17,Southampton,S
333,Dika,Mr Mirko,17,Southampton,†
334,Dimic,Mr Jovan,42,Southampton,†
335,Dintcheff,Mr Valtcho,43,Southampton,†
336,Dodge,Dr Washington,52,Southampton,S
337,Dodge,Master Washington,4,Southampton,S
338,Dodge,Mrs Ruth,34,Southampton,S
339,Doling,Miss Elsie,18,Southampton,†
340,Doling,Mrs Ada Julia Elizabeth,34,Southampton,†
341,Donohoe,Miss Bridget,21,Queenstown,†
342,Dooly,Mr Patrick,38,Queenstown,†
343,Dorking,Mr Edward Arthur,18,Southampton,S
344,Dougherty,Mr William John,22,Queenstown,†
345,Douglas,Mr Walter Donald,50,Cherbourg,†
346,Douglas,Mrs Mahala,48,Cherbourg,S
347,Douglas,Mrs Mary Hélène,27,Cherbourg,S
348,Douton,Mr William Joseph,55,Southampton,†
349,Dowdell,Miss Elizabeth,31,Southampton,S
350,Doyle,Miss Elizabeth,28,Queenstown,†
351,Drazenovic,Mr Jozef,33,Cherbourg,†
352,Drew,Master Marshall Brines,8,Southampton,S
353,Drew,Mr James Vivian,42,Southampton,†
354,Drew,Mrs Maria Louisa Thorne,34,Southampton,S
355,Driscoll,Miss Bridget,27,Queenstown,S
356,Dropkin,Miss Jennie,24,Southampton,†
357,Duff Gordon,"Lucy Christiana, Lady",48,Cherbourg,S
358,Duff Gordon,Sir Cosmo Edmund,49,Cherbourg,S
359,Dulles,Mr William Crothers,39,Cherbourg,†
360,Duquemin,Mr Joseph Pierre,24,Southampton,S
361,Durán I Moné,Señora Asuncion,27,Cherbourg,S
362,Durán I Moné,Señora Florentina,30,Cherbourg,S
363,Dwan,Mr Frank,65,Queenstown,†
364,Dyker,Mr Adolf Fredrik,23,Southampton,†
365,Dyker,Mrs Anna Elisabeth Judith,22,Southampton,S
366,Earnshaw,Mrs Olive,23,Cherbourg,S
367,Edvardsson,Mr Gustaf Hjalmar,18,Southampton,†
368,Eitemiller,Mr George Floyd,25,Southampton,†
369,Eklund,Mr Hans Linus,16,Southampton,†
370,Ekström,Mr Amandus,45,Southampton,†
371,Elias,Mr Dibo,29,Cherbourg,†
372,Elias,Mr Joseph jr.,15,Cherbourg,†
373,Elias Nasrallah,Mr Tannous,22,Cherbourg,†
374,Elsbury,Mr William James,48,Southampton,†
375,Emanuel,Miss Virginia Ethel,5,Southampton,S
376,Enander,Mr Ingvar,21,Southampton,†
377,Endres,Miss Caroline Louise (Nurse to Mrs Madeleine Astor),39,Cherbourg,S
378,Estanislau,Mr Manuel Gonçalves,37,Southampton,†
379,Eustis,Miss Elizabeth Mussey,54,Cherbourg,S
380,Evans,Miss Edith Corse,36,Cherbourg,†
381,Everett,Mr Thomas James,38,Southampton,†
382,Fahlstrøm,Mr Arne Joma,18,Southampton,†
383,Fardon,Mr Charles Richard,45,Southampton,†
384,Farrell,Mr James,25,Queenstown,†
385,Farthing,Mr John (Manservant to Mr & Mrs Straus),57,Southampton,†
386,Faunthorpe,Mr Harry Bartram,41,Southampton,†
387,Fillbrook,Mr Joseph Charles,18,Southampton,†
388,Finoli,Mr Luigi,34,Southampton,S
389,Fischer,Mr Eberhard Thelander,18,Southampton,†
390,Flegenheim,Mrs Antoinette,48,Cherbourg,S
391,Fleming,Miss Honor,22,Queenstown,†
392,Fleming,Miss Margaret (Maid to Mr & Mrs Thayer),42,Cherbourg,S
393,Flynn,Mr James,28,Queenstown,†
394,Flynn,Mr John,42,Queenstown,†
395,Flynn,Mr John Irwin,36,Southampton,S
396,Foley,Mr Joseph,19,Queenstown,†
397,Foley,Mr William,20,Queenstown,†
398,Foo,Mr Choong,32,Southampton,S
399,Ford,Miss Dollina Margaret,20,Southampton,†
400,Ford,Miss Robina Maggie,7,Southampton,†
401,Ford,Mr Arthur,22,Southampton,†
402,Ford,Mr Edward Watson,18,Southampton,†
403,Ford,Mr William Neal Thomas,16,Southampton,†
404,Ford,Mrs Margaret Ann Watson,54,Southampton,†
